"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars"
"[Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates]" 
"Bureau of Economic Analysis" 
"Last Revised on: April 30, 2021 - Next Release Date May 28, 2021"
"Line","","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2012","2012","2012","2012","2012","2012","2012","2012","2012","2012","2012","2012","2013","2013","2013","2013","2013","2013","2013","2013","2013","2013","2013","2013","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2014","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019","2020","2020","2020","2020","2020","2020","2020","2020","2020","2020","2020","2020","2021","2021","2021"
"Line","","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR"
"1","            Personal consumption expenditures",8981697,9021984,9020608,9066332,9031840,9064874,9123553,9132692,9103603,9135588,9162102,9219393,9219078,9186260,9241165,9287217,9308479,9361285,9407289,9493622,9466150,9479770,9533112,9546524,9576484,9592849,9644188,9641678,9698999,9652114,9727397,9762546,9823463,9844412,9860786,9927051,9901191,9942847,9961106,10023046,10016122,10104130,10182046,10144746,10109100,10140189,10175405,10210678,10263275,10292365,10311037,10326625,10346296,10350128,10404799,10371090,10435505,10481598,10485582,10546264,10561372,10561785,10566627,10578004,10587622,10582892,10612125,10653610,10661714,10663150,10684270,10670963,10665843,10625554,10641889,10659274,10672153,10653640,10604594,10603040,10537935,10514862,10487634,10447632,10500639,10460277,10418179,10408519,10421614,10421868,10458308,10554518,10454781,10465930,10449080,10505924,10488088,10519933,10568275,10588904,10605620,10632919,10658593,10689834,10701601,10727984,10759766,10774247,10783713,10788226,10827284,10820010,10811913,10839038,10860570,10857729,10879808,10894357,10878388,10884932,10936702,11002445,10980762,10993883,10995648,10979223,11006172,10996450,11019929,11025844,11070029,11074684,11116086,11112070,11114402,11101162,11132850,11132544,11146395,11161669,11194204,11227993,11277651,11285301,11250390,11313771,11359895,11399927,11423891,11471674,11498864,11579437,11586223,11656935,11697178,11730792,11767040,11798728,11829060,11861873,11899272,11915706,11963717,11996510,12013327,12022367,12049883,12093803,12105271,12184064,12154945,12191213,12216541,12269673,12278873,12297874,12336690,12338019,12365828,12436150,12451338,12456426,12524018,12519462,12523935,12555894,12574606,12585026,12653955,12668506,12730129,12802590,12784949,12777083,12832264,12864499,12908159,12921637,12962679,13002104,12984158,13044270,13086446,12969430,13065002,13060892,13153564,13177506,13209567,13251261,13278974,13305532,13319540,13344260,13356203,13360598,13416701,13402409,12536109,10999339,11936742,12644667,12799017,12914897,13060248,13095637,13010975,12890665,13285002,13119938,13596591
"2","Goods",2908520,2930720,2922216,2947564,2906084,2932158,2967394,2983512,2943469,2946106,2970710,3012952,2994081,2970436,3014398,3040842,3047088,3086728,3107253,3173037,3152317,3147660,3187604,3182108,3192461,3192516,3239725,3214033,3253493,3190377,3239425,3260643,3293203,3295424,3295756,3333174,3320928,3342165,3337240,3384341,3353177,3410584,3467239,3412756,3364797,3394694,3404637,3423851,3486013,3476299,3472466,3484741,3478873,3486374,3522163,3489237,3530490,3551278,3545706,3592599,3594242,3578242,3592203,3588265,3609133,3592488,3612081,3614104,3631582,3630296,3631427,3617468,3589553,3547224,3563675,3562135,3572697,3549564,3506884,3517506,3436079,3402375,3380643,3358584,3408939,3389761,3345460,3343433,3370366,3365133,3396412,3478068,3380156,3393208,3394802,3411724,3399423,3412803,3464231,3474285,3463091,3479178,3482366,3499235,3513301,3538712,3551356,3550700,3565322,3556261,3572261,3565197,3535598,3553619,3548869,3542936,3566406,3580634,3574653,3579984,3606253,3641116,3623926,3624317,3627838,3617219,3626212,3643586,3647447,3638515,3672533,3683908,3737597,3729115,3717232,3715084,3742094,3734804,3756017,3748348,3767890,3778815,3801069,3798627,3765978,3831020,3857197,3874836,3881066,3904151,3914374,3944393,3935601,3962129,3988137,4002784,4014969,4022791,4058192,4062611,4079113,4082367,4110216,4123925,4127108,4109067,4141713,4158581,4156985,4201252,4185746,4194440,4216132,4258587,4256502,4262855,4274674,4273148,4267757,4319071,4316312,4322395,4346038,4368750,4372305,4401234,4400502,4409411,4464913,4468799,4512097,4543987,4524539,4525020,4545267,4554764,4605284,4575355,4600283,4619246,4612591,4644638,4701674,4573222,4659380,4636100,4710378,4732605,4758234,4777909,4797305,4811544,4806711,4813673,4812222,4809568,4836425,4817167,4785163,4187078,4788176,5056974,5108592,5132950,5215623,5214691,5150430,5037874,5405328,5225726,5609155
"3","    Durable goods",797865,813108,807360,830086,798335,805089,834211,850741,821528,811189,821381,851046,833150,813440,839319,858074,865116,875628,886509,920350,906951,905884,923486,923648,919768,934326,946997,932188,958850,917375,949817,956636,974428,971488,972165,991697,969986,986216,993145,1013718,988265,1025868,1071868,1019502,995697,983886,999646,1011139,1047591,1028076,1037911,1037832,1035586,1041457,1058747,1038219,1062510,1064358,1063294,1076387,1085459,1077868,1083802,1088949,1105168,1087090,1092893,1108758,1119701,1125768,1116819,1103606,1092029,1075061,1070932,1070991,1077953,1066016,1036980,1052811,1016730,973495,953974,950394,977854,961659,943400,937714,958312,965968,984698,1054766,961525,966178,978920,985110,971387,973941,1020712,1018824,1017428,1023271,1031151,1036519,1039949,1064319,1063004,1067292,1071430,1068941,1082200,1075578,1065045,1059175,1068661,1069436,1090098,1102719,1097455,1105367,1119420,1136084,1130839,1133126,1129835,1129762,1136261,1142218,1158307,1148590,1177173,1189036,1203152,1204977,1196788,1202708,1209107,1209382,1216160,1216954,1218733,1224106,1236907,1230021,1216156,1251350,1282168,1281389,1294858,1308039,1308001,1321068,1325916,1330763,1346456,1352632,1357142,1358195,1387102,1392611,1397667,1398961,1409935,1421938,1414141,1408426,1428340,1433089,1428238,1454601,1445530,1446257,1456542,1483499,1493596,1497139,1510262,1516382,1505774,1544507,1532880,1536160,1541260,1553463,1557040,1573281,1584172,1580259,1619549,1626612,1649449,1660969,1653125,1661482,1671064,1680698,1697952,1693129,1696727,1709454,1705380,1717709,1745343,1679731,1707311,1698341,1749352,1755669,1776879,1778824,1788349,1796863,1808297,1801409,1813210,1820411,1835200,1813924,1606760,1427096,1831326,1975356,2006030,2030449,2048246,2067192,2025019,1975719,2205290,2097613,2314045
"4","        Motor vehicles and parts",403317,416538,410472,432124,393100,400748,437358,452493,415301,399607,405812,436396,416571,401076,415360,431523,426708,426159,429529,457092,437610,429617,440951,438593,434372,440017,443453,429445,456718,405091,432297,439681,457147,449765,447727,457441,430310,433119,440465,450804,430140,458684,515580,444118,415692,385221,402580,414582,424354,405030,414126,415665,414036,417333,436975,411083,420717,425769,419793,422628,427893,429903,424030,427848,436838,418762,415037,424891,437216,442864,425441,416540,412360,404922,399270,392937,391801,386014,355171,384236,370470,333343,319273,326799,341928,329662,331644,322644,341126,347083,365331,433943,326225,336026,341111,343298,325315,320948,363960,355975,357196,357034,362572,366784,365295,384590,378351,382023,380758,375419,380053,369524,361648,351237,357999,353658,373072,378721,376373,383210,388492,399149,388131,397488,388610,387891,388099,392325,403899,399187,415516,410507,418811,420073,412053,416901,419003,415455,417624,411512,410753,409961,418207,412956,405182,418574,441348,431798,438543,446800,442827,446241,445379,446210,454346,455762,454923,459403,476364,479466,477788,475530,478319,481932,475228,467143,479886,468199,471354,483093,469840,476173,476551,484744,494746,493854,499661,505052,492591,516405,503414,501194,496147,495060,501222,510606,513174,503747,529178,535482,532165,534710,534978,525107,532851,534848,541422,532952,535243,538979,533016,537170,541065,533059,516758,506094,538929,529813,536483,537548,531844,531600,541794,532501,542632,542527,540229,525343,422041,387073,544486,560369,568848,570835,582497,581659,566024,572089,632510,597096,678311
"5","            New motor vehicles (55)",250371,256136,245838,249911,228027,227387,260467,275829,249311,238476,243420,277475,252087,239713,249285,265007,261626,260611,261636,285691,268572,263497,270240,269333,267409,270574,270226,260754,277199,234890,256545,260486,278571,265310,264968,271820,247609,248980,262821,278882,257823,282701,336608,267877,244866,216252,229685,244601,250496,236995,242554,241952,240739,242919,263318,238445,245249,247034,244238,245028,255132,258330,248252,251536,252521,240175,234485,240969,251614,257987,243385,237354,232060,230829,222448,214861,214616,206001,181794,211503,198332,164096,157350,163099,167442,157346,162324,151593,169545,174542,194607,257660,159061,169854,176800,179820,165019,157717,197998,189767,188790,187458,191745,194489,192047,206678,204070,211672,213586,208975,213720,210014,203521,194504,200548,200259,217481,227295,221026,226523,233135,240910,231621,239397,232218,231439,231328,230051,240122,239284,250106,243896,249258,247474,242842,248758,249726,246365,249242,243727,246402,242663,247622,247579,244166,247344,267319,257425,262226,268868,263621,264510,258250,257012,262874,262958,261846,263596,277986,274782,273556,272615,273267,277852,270609,263263,269826,258826,260109,260543,255312,262740,264070,265673,274066,269368,276847,275683,266518,274799,268738,274510,266229,264997,266993,270952,273279,266616,281801,290148,283975,284257,281769,274140,280188,283491,283204,278244,276968,282422,278245,284564,286405,280868,263751,258732,277095,272961,280351,283464,278257,278478,289364,277641,282457,287041,286841,273844,213363,201248,273077,277213,286290,293260,317405,319233,305344,316243,351497,331425,377684
"6","                New autos",102569,103696,99646,101281,93737,95378,101632,104871,101414,92737,99238,103516,103060,95140,95924,96817,93359,96299,96398,103471,94379,94668,99943,93474,96325,98836,101617,94834,99771,92684,94302,94801,96949,100138,100406,104913,95834,98526,103580,111904,99555,102375,112061,107332,106045,99985,99894,98803,114966,103147,100814,107429,104810,102612,110820,105489,103191,101475,100320,102997,105166,103932,102099,100230,106495,99779,94354,94925,101160,101412,102147,100297,103509,98718,97523,100061,108357,105131,91701,91997,83528,75067,66196,66193,65717,64326,66843,59537,68112,72172,89415,125338,71488,70947,72118,74578,67560,62628,74102,71648,68950,71069,72915,75745,74919,76893,75017,78522,80248,82953,88145,85373,80176,75249,74408,74660,79644,84431,82933,84099,93939,101568,96203,96329,92244,90120,91883,91388,96331,93978,97869,93915,98939,97999,92840,94238,92498,93625,93300,93319,93966,94092,94450,96056,88801,88216,94090,90508,92500,94989,93020,95194,91157,90696,91517,92553,85633,84139,90267,84928,85875,85911,82997,87332,82804,81737,81462,79358,76442,76186,74282,73344,75983,76731,78754,76286,78437,78100,76555,78961,72595,72103,71048,72432,70749,69168,71344,70437,70831,73092,71570,67161,65795,67008,63440,66057,65452,63066,64085,64669,61947,65539,64906,62075,64420,57484,58058,59986,54933,57935,53603,54181,57813,54075,53627,56942,53205,51192,38290,29792,40683,42285,48375,48459,51989,52238,50793,48401,52315,46448,52609
"7","                    New domestic autos",69313,69725,64440,66832,61547,63106,67837,71907,66949,62095,65109,70098,67494,61122,62943,64647,61467,62933,62920,70414,60823,63050,66204,62900,64137,63571,65426,59173,63140,58346,61537,60958,62840,61892,64300,68186,62312,63008,68048,75624,63877,65813,73900,68873,68517,62501,63465,61795,78009,67338,64115,68455,65583,63544,69659,66347,64069,61331,59429,59335,66179,65358,63698,61717,67534,63071,57787,58810,63119,63079,63588,61738,68013,61900,58307,59687,66948,64333,53402,56864,53179,46167,39820,41100,41471,38656,40844,35448,42308,45750,59300,88416,45038,43690,45524,48410,42633,39615,49903,47521,43711,44590,46463,47589,47711,49115,48046,51259,53036,55012,58961,56422,52561,49443,48411,48632,52380,56783,55241,56793,62152,66643,64265,63468,61885,60346,61013,62424,64183,61818,63768,61190,69251,67596,64743,65612,63934,64537,63491,63376,64592,64329,64710,64836,62982,61812,66630,64396,66175,67927,66546,69481,67043,65968,68349,67054,63579,61831,65480,62505,63846,64136,62051,64910,61137,60665,60373,59188,56759,56356,54830,54063,55757,56278,57730,55569,58332,58394,56980,59182,53957,53641,52630,54182,53056,51613,53166,51877,51327,53702,52426,48361,47898,49553,47184,49787,48719,47860,49597,50201,46337,50336,49313,47057,47576,41420,42769,44835,39374,41468,38251,39431,43144,39393,39415,43289,39594,37862,30087,23405,29841,31609,37435,37575,40409,40380,39321,36370,37985,32783,38785
"8","                    New foreign autos",33256,33971,35206,34449,32190,32272,33795,32964,34465,30642,34129,33418,35566,34017,32982,32169,31892,33365,33478,33057,33556,31617,33738,30573,32188,35265,36190,35661,36631,34338,32764,33844,34109,38247,36106,36727,33522,35518,35531,36279,35678,36562,38161,38459,37528,37484,36429,37008,36956,35808,36699,38974,39227,39068,41161,39141,39123,40144,40891,43662,38986,38574,38401,38513,38961,36708,36567,36115,38041,38333,38559,38559,35496,36818,39216,40374,41409,40798,38298,35133,30349,28900,26375,25092,24245,25670,25999,24089,25804,26422,30116,36923,26450,27258,26595,26168,24927,23013,24199,24126,25239,26480,26452,28156,27208,27778,26971,27263,27212,27941,29185,28952,27615,25805,25997,26028,27265,27648,27693,27306,31787,34925,31937,32861,30358,29774,30871,28963,32147,32159,34102,32725,29688,30403,28097,28626,28564,29088,29808,29944,29374,29762,29740,31220,25819,26404,27460,26112,26324,27061,26473,25713,24114,24728,23167,25498,22054,22308,24787,22422,22029,21774,20945,22421,21667,21071,21089,20170,19682,19830,19452,19280,20226,20452,21024,20717,20104,19706,19575,19778,18638,18461,18418,18250,17693,17555,18178,18560,19503,19389,19143,18800,17897,17454,16256,16270,16732,15206,14488,14467,15609,15203,15593,15018,16843,16063,15289,15151,15559,16467,15352,14749,14669,14681,14212,13653,13610,13330,8202,6387,10842,10676,10940,10884,11580,11858,11472,12031,14330,13665,13824
