index,TableName,SeriesCode,LineNumber,LineDescription,METRIC_NAME,CL_UNIT,UNIT_MULT,Notes
DPCERX,U20406,DPCERX,1,Personal consumption expenditures,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DGDSRX,U20406,DGDSRX,2,Goods,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DDURRX,U20406,DDURRX,3,Durable goods,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DMOTRX,U20406,DMOTRX,4,Motor vehicles and parts,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNMVRX,U20406,DNMVRX,5,New motor vehicles (55),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNEARX,U20406,DNEARX,6,New autos,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNDCRX,U20406,DNDCRX,7,New domestic autos,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNFCRX,U20406,DNFCRX,8,New foreign autos,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNWTRX,U20406,DNWTRX,9,New light trucks,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNPVRX,U20406,DNPVRX,10,Net purchases of used motor vehicles (56),Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNPURX,U20406,DNPURX,11,Used autos,Chained Dollars,Level,6,"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars [Millions of chained (2012) dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
